U66;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
66301;Head of State;Chen Tiaoyuan;1936;1970;1999;FA;Ruthless Powermonger;High;Chen Diaoyuan;X
66302;Foreign Minister;Chen Lu;1936;1970;1999;SC;Apologetic Clerk;High;Chen Lu;X
66303;Head of Military Intelligence;Chen Tiaoyuan;1936;1970;1999;SC;Political Specialist;High;Chen_Tiaoyuan;X
66304;Chief of Air Force;Choi Yong duk;1936;1970;1999;PA;Naval Aviation Doctrine;High;Choi_Yong-duk;X
66305;Chief of Staff;Gao Shidu;1936;1970;1999;PA;School of Psychology;High;Gao_shidu;X
66306;Chief of Staff;Ge Jingen;1936;1970;1999;PA;School of Manoeuvre;High;Ge Jingen;X
66307;Chief of Air Force;Ge Jingen;1936;1970;1999;PA;Aviation Organizer;High;Ge Jingen;X
66308;Minister of Armament;Ge Jingen;1936;1970;1999;PA;Construction Magnate;High;Ge Jingen;X
66309;Chief of Army;Li Erkang;1936;1970;1999;FA;Elastic Defence Doctrine;High;Li Erkang;X
66311;Chief of Staff;Lin Wei;1936;1970;1999;FA;Commando Doctrine Staff;High;Lin Wei;X
66312;Chief of Staff;Liu Fengtu;1936;1970;1999;PA;School of Mass Combat;High;Liu_Fengtu;X
66313;Chief of Army;Liu Heding;1936;1970;1999;PA;Decisive Battle Doctrine;High;Liu_Heding;X
66314;Chief of Navy;Lu Deyuan;1936;1970;1999;PA;Base Control Doctrine;High;Lu Deyuan;X
66315;Minister of Armament;Lu Gongwang;1936;1970;1999;PA;Military Entrepreneur;High;Lu_Gongwang;X
66316;Chief of Army;Ma Baohang;1936;1970;1999;PA;Armoured Spearhead Doctrine;High;Ma Baohang;X
66317;Chief of Staff;Ma Xiangbin;1936;1970;1999;PA;School of Defence;High;Ma_Xiangbin;X
66318;Chief of Air Force;Chen Qixia;1936;1970;1999;FA;Vertical Envelopment Doctrine;;Chen Qixia;X
66319;Minister of Armament;Leng Yu;1936;1970;1999;PA;Bank President;High;Leng_Yu;X
66320;Chief of Army;Chen Yi;1936;1970;1999;SC;Armoured Spearhead Doctrine;;Chen_yi;X
66321;Chief of Army;Qian Zongze;1936;1970;1999;PA;Guns and Butter Doctrine;;Qian Zongze;X
66322;Minister of Armament;Qian Zongze;1936;1970;1999;PA;Military Entrepreneur;;Qian Zongze;X
66323;Head of Government;Shangguan Yunxiang;1936;1970;1999;FA;Flamboyant Tough Guy;;Shangguan_Yunxiang;X
66324;Minister of Security;Shi Liangcai;1936;1970;1999;SC;Media Magnate;;Shi_Liangcai;X
66325;Chief of Staff;Wang Geng;1936;1970;1999;FA;School of Manoeuvre;;Wang Geng;X
66326;Head of Government;Wang Pu;1936;1970;1999;FA;Silent Workhorse;;Wang_Pu;X
66327;Chief of Navy;Wu Shouting;1936;1970;1999;PA;Decisive Naval Battle Doctrine;;Wu Shouting;X
66328;Minister of Armament;Wei Yanshou;1936;1970;1999;SC;Industrial Chemist;;Wei_Yanshou;X
66329;Foreign Minister;Wu Yinchan;1936;1970;1999;SC;Great Compromiser;;Wu_Yinchan;X
66330;Chief of Navy;Wu Zhennan;1936;1970;1999;SC;Decisive Naval Battle Doctrine;;Wu Zhennan;X
66331;Minister of Armament;Wu Zhuozhi;1936;1970;1999;ML;Theoretical Scientist;;Wu_Zhuozhi;X
66332;Minister of Security;Xia Chao;1936;1970;1999;FA;Secret Police Chief;;Xia_Chao;X
66333;Head of Military Intelligence;Xia Chao;1936;1970;1999;FA;Logistics Specialist;;Xia_Chao;X
66334;Chief of Air Force;Xu Hansheng;1936;1970;1999;PA;Carpet Bombing Doctrine;;Xu Huansheng;X
66335;Chief of Air Force;Xu Peigen;1936;1970;1999;PA;Aviation Organizer;;Xu Peigen;X
66336;Chief of Army;Xu Peigen;1936;1970;1999;PA;Static Defence Doctrine;;Xu Peigen;X
66337;Chief of Army;Zhang Daohong;1936;1970;1999;PA;Commando Doctrine Army;;Zhang_Daohong;X
66338;Chief of Army;Zhang Pei;1936;1970;1999;PA;Commando Doctrine Army;;Zhang Pei;X
66339;Chief of Navy;Zhang Quan;1936;1970;1999;PA;Commando Doctrine Army;;Zhang_Quan;X
66340;Chief of Air Force;Zhang Tiqin;1936;1970;1999;PA;Army Aviation Doctrine;;Zhang_Tiqin;X
66341;Chief of Staff;Zhang Yichun;1936;1970;1999;PA;School of Fire Support;;Zhang_Yichun;X
66342;Minister of Security;Zhang Yilin;1936;1970;1999;SC;Man of the People;;Zhang_Yilin;X
